,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
308,zoeraymond,120980708,782446161063976960,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 05:04:36 +0000 2016,"After 296 steps, I'm at the top of the Leaning Tower of Pisa! 🇮🇹 @ Leaning Tower of Pisa https://t.co/mzjqZjaEnL",3
309,silviamanetti1,551665700,781591558827094016,"[43.71700314, 10.40178853]",43.71700314,10.40178853,Thu Sep 29 20:28:43 +0000 2016,"Moscow Mule!!

#drinks #moscowmule #cup #icon #drinkdrunkdrank #cocktails #withfriends… https://t.co/YV2kA8Bagd",4
310,mjlopez071,294063019,780422443563384832,"[43.72267923, 10.39542451]",43.72267923,10.39542451,Mon Sep 26 15:03:04 +0000 2016,"Nagmahal, nasaktan, nag Italy!
Dreams do come true. 😂😂😂
#charlang #lol #ootd #potd #tuscany… https://t.co/NBGXpH8umx",3
311,wanderinplaces,706613854093107201,781505105832976385,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Thu Sep 29 14:45:11 +0000 2016,Just a quick wander over to Italy to help out with the #leaningtowerofpisa ! #wanderinitaly… https://t.co/pwfnc853Oh,3
312,michelegravina,19074781,780147342867660800,"[43.7198163, 10.3880278]",43.71981629999999,10.3880278,Sun Sep 25 20:49:55 +0000 2016,Affascinante come con #snapseed e #prisma poi uno scatto diventi un quadro... #livorno… https://t.co/Mx7WYHTuEg,-1
313,ThisIsBryanC,296678150,782497562360094720,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 08:28:51 +0000 2016,"At this exact moment, the Leaning Tower of Pisa represents all the… https://t.co/hJIyHthToH",3
314,ugurcoskunn,348792292,781909694868623360,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Fri Sep 30 17:32:53 +0000 2016,"Just posted a photo @ Piazza Dei Miracoli, Pisa https://t.co/XWZxL2tSYG",3
315,_unexpectedlife,1270401968,780769746383810560,"[43.72209953, 10.40377947]",43.72209953,10.40377947,Tue Sep 27 14:03:08 +0000 2016,Just posted a photo @ Liceo linguistico 'Carducci' https://t.co/HbTnYHmc5m,9
316,_unexpectedlife,1270401968,779951154188857345,"[43.7167, 10.3833]",43.7167,10.3833,Sun Sep 25 07:50:20 +0000 2016,"Last night🎉 @ Pisa, Italy https://t.co/17DH16Ggdr",1
317,MassyWbaFc,120574181,779929635723194368,"[43.725278, 10.4]",43.725278,10.4,Sun Sep 25 06:24:50 +0000 2016,Cose mai viste #pisa #acpisa1909 #legab #serieb @ Arena Garibaldi – Stadio Romeo Anconetani https://t.co/8n5MjVXnRo,11
318,nyreecollinsx,2494919297,779745099651493888,"[43.7167, 10.3833]",43.7167,10.3833,Sat Sep 24 18:11:33 +0000 2016,"🇮🇹 luv Italy x @ Pisa, Italy https://t.co/6wMDQWGzoa",1
